Order ID,Date,Product,Price,Quantity,Purchase Type,Payment Method
20001,2022-12-30,Burgers,12.99,774.08,Drive-thru,Credit Card
20002,2022-12-30,Chicken Sandwiches,9.95,292.94,In-store,Credit Card
20003,2022-12-30,Fries,3.49,863.08,Drive-thru,Cash
20004,2022-12-30,Beverages,2.95,887.56,Online,Credit Card
20005,2022-12-30,Sides & Other,4.99,255.83,In-store,Credit Card
20006,2022-12-31,Burgers,12.99,1140.94,In-store,Cash
20007,2022-12-31,Chicken Sandwiches,9.95,546.65,In-store,Credit Card
20008,2022-12-31,Fries,3.49,1375.44,Drive-thru,Cash
20009,2022-12-31,Beverages,2.95,1292.06,In-store,Cash
20010,2022-12-31,Sides & Other,4.99,450.4,Online,Credit Card
20011,2023-01-01,Burgers,12.99,728.95,Online,Cash
20012,2023-01-01,Chicken Sandwiches,9.95,296.17,In-store,Credit Card
20013,2023-01-01,Fries,3.49,899.22,Online,Credit Card
20014,2023-01-01,Beverages,2.95,798.03,In-store,Credit Card
20015,2023-01-01,Sides & Other,4.99,214.09,Online,Cash
20016,2023-01-02,Burgers,12.99,401.81,Online,Cash
20017,2023-01-02,Chicken Sandwiches,9.95,155.19,Drive-thru,Gift Card
20018,2023-01-02,Fries,3.49,502.94,In-store,Cash
20019,2023-01-02,Beverages,2.95,465.28,Online,Cash
20020,2023-01-02,Sides & Other,4.99,126.1,Online,Cash
20021,2023-01-03,Burgers,12.99,502.71,Drive-thru,Credit Card
20022,2023-01-03,Chicken Sandwiches,9.95,174.73,In-store,Credit Card
20023,2023-01-03,Fries,3.49,511.73,In-store,Credit Card
20024,2023-01-03,Beverages,2.95,469.38,In-store,Credit Card
20025,2023-01-03,Sides & Other,4.99,149.94,Drive-thru,Credit Card
20026,2023-01-04,Burgers,12.99,467.43,In-store,Credit Card
20027,2023-01-04,Chicken Sandwiches,9.95,166.01,In-store,Gift Card
20028,2023-01-04,Fries,3.49,548.66,Drive-thru,Cash
20029,2023-01-04,Beverages,2.95,512.67,In-store,Cash
20030,2023-01-04,Sides & Other,4.99,163.87,In-store,Credit Card
20031,2023-01-05,Burgers,12.99,434.95,Online,Cash
20032,2023-01-05,Chicken Sandwiches,9.95,224.15,Drive-thru,Cash
20033,2023-01-05,Fries,3.49,536.03,Online,Cash
20034,2023-01-05,Beverages,2.95,502.36,In-store,Credit Card
20035,2023-01-05,Sides & Other,4.99,190.52,In-store,Credit Card
20036,2023-01-06,Burgers,12.99,467.74,In-store,Gift Card
20037,2023-01-06,Chicken Sandwiches,9.95,221.19,Online,Credit Card
20038,2023-01-06,Fries,3.49,543.78,Drive-thru,Credit Card
20039,2023-01-06,Beverages,2.95,570.7,Online,Credit Card
20040,2023-01-06,Sides & Other,4.99,201.89,In-store,Credit Card
20041,2023-01-07,Burgers,12.99,644.83,Drive-thru,Credit Card
20042,2023-01-07,Chicken Sandwiches,9.95,249.09,Drive-thru,Gift Card
20043,2023-01-07,Fries,3.49,692.53,In-store,Credit Card
20044,2023-01-07,Beverages,2.95,675.26,Online,Cash
20045,2023-01-07,Sides & Other,4.99,176.13,In-store,Credit Card
20046,2023-01-08,Burgers,12.99,506.89,In-store,Cash
20047,2023-01-08,Chicken Sandwiches,9.95,211.66,Drive-thru,Credit Card
20048,2023-01-08,Fries,3.49,673.53,In-store,Credit Card
20049,2023-01-08,Beverages,2.95,630.08,Online,Cash
20050,2023-01-08,Sides & Other,4.99,151.84,Online,Gift Card
20051,2023-01-09,Burgers,12.99,438.97,In-store,Cash
20052,2023-01-09,Chicken Sandwiches,9.95,166.37,Drive-thru,Cash
20053,2023-01-09,Fries,3.49,473.34,In-store,Cash
20054,2023-01-09,Beverages,2.95,496.81,In-store,Credit Card
20055,2023-01-09,Sides & Other,4.99,179.87,In-store,Gift Card
20056,2023-01-10,Burgers,12.99,479.57,Online,Credit Card
20057,2023-01-10,Chicken Sandwiches,9.95,163.45,Drive-thru,Credit Card
20058,2023-01-10,Fries,3.49,500.11,Online,Gift Card
20059,2023-01-10,Beverages,2.95,507.0,In-store,Cash
20060,2023-01-10,Sides & Other,4.99,184.47,Drive-thru,Credit Card
20061,2023-01-11,Burgers,12.99,440.53,Drive-thru,Cash
20062,2023-01-11,Chicken Sandwiches,9.95,184.7,Drive-thru,Cash
20063,2023-01-11,Fries,3.49,500.56,In-store,Credit Card
20064,2023-01-11,Beverages,2.95,499.24,In-store,Gift Card
20065,2023-01-11,Sides & Other,4.99,190.28,Online,Cash
20066,2023-01-12,Burgers,12.99,524.18,In-store,Credit Card
20067,2023-01-12,Chicken Sandwiches,9.95,186.9,Online,Gift Card
20068,2023-01-12,Fries,3.49,569.05,In-store,Credit Card
20069,2023-01-12,Beverages,2.95,534.37,In-store,Cash
20070,2023-01-12,Sides & Other,4.99,155.42,Drive-thru,Credit Card
20071,2023-01-13,Burgers,12.99,550.67,In-store,Cash
20072,2023-01-13,Chicken Sandwiches,9.95,250.78,In-store,Gift Card
20073,2023-01-13,Fries,3.49,615.6,In-store,Credit Card
20074,2023-01-13,Beverages,2.95,645.73,Drive-thru,Cash
20075,2023-01-13,Sides & Other,4.99,124.42,In-store,Credit Card
20076,2023-01-14,Burgers,12.99,649.78,Online,Cash
20077,2023-01-14,Chicken Sandwiches,9.95,246.97,In-store,Cash
20078,2023-01-14,Fries,3.49,684.79,In-store,Credit Card
20079,2023-01-14,Beverages,2.95,686.77,In-store,Cash
20080,2023-01-14,Sides & Other,4.99,160.3,In-store,Credit Card
20081,2023-01-15,Burgers,12.99,533.78,In-store,Cash
20082,2023-01-15,Chicken Sandwiches,9.95,230.34,In-store,Gift Card
20083,2023-01-15,Fries,3.49,689.64,Online,Credit Card
20084,2023-01-15,Beverages,2.95,607.15,In-store,Cash
20085,2023-01-15,Sides & Other,4.99,178.78,In-store,Credit Card
20086,2023-01-16,Burgers,12.99,444.78,Online,Cash
20087,2023-01-16,Chicken Sandwiches,9.95,208.49,In-store,Cash
20088,2023-01-16,Fries,3.49,553.71,Online,Credit Card
20089,2023-01-16,Beverages,2.95,520.44,In-store,Credit Card
20090,2023-01-16,Sides & Other,4.99,185.32,In-store,Credit Card
20091,2023-01-17,Burgers,12.99,443.46,Drive-thru,Cash
20092,2023-01-17,Chicken Sandwiches,9.95,196.69,Online,Credit Card
20093,2023-01-17,Fries,3.49,488.0,In-store,Credit Card
20094,2023-01-17,Beverages,2.95,492.89,Online,Credit Card
20095,2023-01-17,Sides & Other,4.99,153.4,In-store,Credit Card
20096,2023-01-18,Burgers,12.99,395.67,In-store,Credit Card
20097,2023-01-18,Chicken Sandwiches,9.95,194.03,In-store,Gift Card
20098,2023-01-18,Fries,3.49,544.94,In-store,Gift Card
20099,2023-01-18,Beverages,2.95,526.33,Drive-thru,Credit Card
20100,2023-01-18,Sides & Other,4.99,165.24,Online,Cash
20101,2023-01-19,Burgers,12.99,397.87,Online,Gift Card
20102,2023-01-19,Chicken Sandwiches,9.95,180.15,Online,Credit Card
20103,2023-01-19,Fries,3.49,525.34,In-store,Credit Card
20104,2023-01-19,Beverages,2.95,508.12,In-store,Credit Card
20105,2023-01-19,Sides & Other,4.99,166.99,In-store,Gift Card
20106,2023-01-20,Burgers,12.99,552.9,In-store,Cash
20107,2023-01-20,Chicken Sandwiches,9.95,258.53,In-store,Credit Card
20108,2023-01-20,Fries,3.49,623.46,Online,Gift Card
20109,2023-01-20,Beverages,2.95,611.83,Drive-thru,Cash
20110,2023-01-20,Sides & Other,4.99,194.43,In-store,Credit Card
20111,2023-01-21,Burgers,12.99,487.4,Online,Cash
20112,2023-01-21,Chicken Sandwiches,9.95,244.11,Drive-thru,Cash
20113,2023-01-21,Fries,3.49,699.95,In-store,Cash
20114,2023-01-21,Beverages,2.95,756.3,Drive-thru,Gift Card
20115,2023-01-21,Sides & Other,4.99,216.12,In-store,Gift Card
20116,2023-01-22,Burgers,12.99,561.81,In-store,Credit Card
20117,2023-01-22,Chicken Sandwiches,9.95,221.39,Drive-thru,Cash
20118,2023-01-22,Fries,3.49,588.27,In-store,Credit Card
20119,2023-01-22,Beverages,2.95,651.35,Online,Credit Card
20120,2023-01-22,Sides & Other,4.99,222.83,Drive-thru,Cash
20121,2023-01-23,Burgers,12.99,458.55,In-store,Cash
20122,2023-01-23,Chicken Sandwiches,9.95,157.04,Drive-thru,Gift Card
20123,2023-01-23,Fries,3.49,535.45,In-store,Cash
20124,2023-01-23,Beverages,2.95,455.03,In-store,Credit Card
20125,2023-01-23,Sides & Other,4.99,170.1,Drive-thru,Credit Card
20126,2023-01-24,Burgers,12.99,534.09,In-store,Cash
20127,2023-01-24,Chicken Sandwiches,9.95,160.66,In-store,Credit Card
20128,2023-01-24,Fries,3.49,492.18,Online,Gift Card
20129,2023-01-24,Beverages,2.95,502.04,In-store,Credit Card
20130,2023-01-24,Sides & Other,4.99,150.87,In-store,Gift Card
20131,2023-01-25,Burgers,12.99,391.7,Online,Gift Card
20132,2023-01-25,Chicken Sandwiches,9.95,189.62,In-store,Credit Card
20133,2023-01-25,Fries,3.49,501.99,Online,Cash
20134,2023-01-25,Beverages,2.95,536.9,Drive-thru,Gift Card
20135,2023-01-25,Sides & Other,4.99,148.86,Drive-thru,Credit Card
20136,2023-01-26,Burgers,12.99,533.01,Online,Credit Card
20137,2023-01-26,Chicken Sandwiches,9.95,173.13,Drive-thru,Gift Card
20138,2023-01-26,Fries,3.49,526.01,In-store,Credit Card
20139,2023-01-26,Beverages,2.95,544.56,In-store,Cash
20140,2023-01-26,Sides & Other,4.99,141.41,In-store,Cash
20141,2023-01-27,Burgers,12.99,543.65,Drive-thru,Credit Card
20142,2023-01-27,Chicken Sandwiches,9.95,245.64,Drive-thru,Credit Card
20143,2023-01-27,Fries,3.49,556.93,In-store,Gift Card
20144,2023-01-27,Beverages,2.95,609.94,Online,Credit Card
20145,2023-01-27,Sides & Other,4.99,203.63,In-store,Credit Card
